year,month,amazon,amur,aral,chang_jiang,columbia,zaire,danube,dnepr,don,huang,indigirka,indus,kolyma,lena,limpopo,mackenzie,mekong,mississippi,murray,dvina,niger,nile,ob,olenek,parana,pechora,senegal,ural,volga,xi,yenisei,yukon
1984,1,115.3573,4.6803,12.4827,46.8642,14.8705,139.5056,17.3803,16.0916,16.7598,44.4826,0.3867,65.4197,0.8205,0.9005,162.3021,2.3509,111.0691,33.2605,211.6383,2.2179,220.871,184.3805,4.1397,0.2646,148.3495,1.4855,226.315,8.6392,6.3734,52.171,2.7049,0.6942
1984,2,109.2937,19.4789,32.3887,64.2409,31.7356,125.9855,40.8548,30.6943,32.7243,80.8313,2.1489,100.5703,3.8587,6.0036,123.9288,10.0598,126.2043,38.8372,143.9636,14.8603,229.5807,185.7431,17.4038,2.3524,107.996,8.8822,234.1322,27.891,23.0327,86.8388,12.4176,6.4522
1984,3,103.894,64.571,101.6186,85.695,64.3246,132.7751,77.7238,81.8527,74.084,131.3471,15.712,150.7632,21.0601,31.6686,114.9718,42.1711,134.6849,75.6092,86.6448,49.6353,248.0815,198.0492,47.586,14.8169,80.8062,26.7346,250.6531,76.7006,65.9487,94.004,37.8221,28.7656
1984,4,93.3412,108.9267,170.7782,89.2869,97.1207,125.6426,85.2834,100.4108,152.6999,138.4004,58.9861,202.8518,67.9026,75.1546,94.2284,75.5393,119.5606,115.9302,52.4844,99.5671,242.6312,181.6685,97.9307,62.8694,59.706,75.1466,238.8502,152.0374,125.0865,92.3428,76.5245,65.6559
1984,5,96.2496,131.0843,232.2023,123.89,127.5888,130.7461,122.8067,96.2915,153.9738,162.7583,87.7024,232.7158,86.961,112.0864,71.4237,106.1287,122.1859,142.5288,36.4443,103.4312,232.8641,182.8164,135.4435,105.2872,48.8967,101.1518,214.2293,174.8758,125.2466,116.6616,122.9963,97.0944
1984,6,104.3247,104.6732,262.545,104.3826,172.317,124.3398,126.023,98.0265,147.6077,129.3015,87.2456,184.9419,93.6627,128.158,77.5084,111.001,98.3828,158.0298,24.8065,99.9938,199.0725,156.3398,130.6883,143.0929,69.0693,103.929,172.6539,211.2691,127.5121,109.6638,113.8999,87.4946
1984,7,119.9796,84.4839,238.542,108.7927,162.7062,137.7198,101.7972,94.3031,110.0412,126.5564,51.6252,166.9695,64.667,76.6299,112.2444,87.041,103.2984,145.5694,58.523,65.7589,183.9665,157.2879,107.311,59.5594,82.3884,63.6191,153.3802,143.4664,88.2614,104.8753,85.261,55.6546
1984,8,127.5453,60.7312,144.4973,74.3014,101.8657,146.8615,67.8036,62.3792,109.3969,80.6252,7.818,130.4764,11.7023,28.59,166.9912,32.3738,96.5765,113.2716,89.539,23.069,166.5568,157.1184,53.2031,14.6958,111.9139,17.3669,137.9271,110.3059,56.757,81.5806,39.7864,17.3261
1984,9,121.7653,21.7717,70.5847,50.9004,38.4282,133.5872,38.6628,24.3638,34.7068,68.2126,0.3215,94.5957,1.9196,3.5839,189.288,7.0646,75.333,48.2201,152.845,3.1712,167.2763,145.5075,16.179,0.2236,138.1816,1.2068,144.0229,33.3793,13.2875,55.1913,12.6794,1.1403
1984,10,122.203,5.6844,19.682,38.9473,8.0269,119.8544,10.7815,5.2124,7.7717,40.3766,0.2108,67.937,0.7951,0.7881,192.4346,0.469,71.8901,30.4766,196.9624,1.5219,169.4395,131.1126,2.4402,0.2034,139.907,NA,159.5989,4.6504,3.3669,54.9556,2.7265,0.3569
