year,month,amazon,amur,aral,chang_jiang,columbia,zaire,danube,dnepr,don,huang,indigirka,indus,kolyma,lena,limpopo,mackenzie,mekong,mississippi,murray,dvina,niger,nile,ob,olenek,parana,pechora,senegal,ural,volga,xi,yenisei,yukon
1984,1,269.8662,4.6387,10.3001,21.0575,51.964,107.3993,63.9834,38.8622,35.6116,2.4425,7.567,8.4555,12.4403,11.496,72.2597,28.8642,5.6424,21.828,162.5823,30.7987,0.122,10.3951,17.3653,8.3845,164.1926,27.0796,0.1317,13.8336,30.8926,16.266,16.3803,15.1881
1984,2,283.9437,4.6344,18.0494,13.5834,49.1773,102.6819,58.2881,23.6125,6.7753,1.9738,1.3618,34.7946,3.8775,7.462,43.5327,19.2276,10.6135,42.7531,35.0336,4.9009,0.4686,10.3917,10.629,8.7549,133.1464,26.0606,0.1907,0.4211,1.8247,25.8962,14.496,14.9956
1984,3,257.6477,6.4546,36.1825,41.2374,58.8738,132.372,47.7094,29.4015,22.0983,5.1531,5.9483,26.0153,7.5431,5.2103,80.2468,12.3352,20.5874,69.5851,22.8165,17.1024,12.0572,13.0501,12.6472,4.4921,171.3928,19.27,0.6365,6.428,14.4739,38.9801,10.6794,8.9631
1984,4,254.6338,19.3634,20.9742,94.4302,48.5736,126.667,51.874,18.389,27.8971,18.0298,4.7198,32.9406,1.6663,20.777,18.1554,12.1728,81.1211,94.1023,45.6471,14.9303,27.9558,31.2681,25.7146,8.8216,95.0851,31.7064,3.8446,13.4848,16.4812,155.1856,18.2962,9.3461
1984,5,180.9897,27.1435,19.194,144.439,57.0044,104.2704,105.3133,58.3903,21.0685,60.0589,22.1221,16.5112,14.4585,34.1245,3.8361,42.7765,143.5775,85.4772,7.6087,28.691,61.5903,45.6437,35.0334,15.5531,50.3513,29.4211,10.1462,11.5193,22.4138,247.3183,31.9234,19.0849
1984,6,121.8341,72.0859,11.8895,154.6579,62.9124,64.2279,77.3436,103.3649,43.2932,80.7671,44.8761,19.2652,44.8931,51.9757,8.2001,66.3015,211.2302,90.7592,15.7742,84.4303,62.3355,49.1754,59.8021,25.3035,29.0159,66.5523,37.3527,43.7571,86.8988,209.3315,42.7962,38.5429
1984,7,106.251,105.834,4.2888,168.8702,17.9268,79.4367,68.4368,76.8387,54.7394,100.8214,55.1249,89.4233,68.9441,51.1516,24.1366,67.1309,235.9557,66.2048,90.8232,112.6141,113.2616,71.2425,62.5156,13.1677,10.9192,54.7427,54.9235,11.9745,85.4047,123.342,68.5208,63.5171
1984,8,101.0003,127.8143,6.5825,135.0103,27.5136,99.8296,64.4729,38.4078,57.7556,85.8261,65.4015,96.6362,45.641,48.691,2.6297,63.4254,294.1477,54.1294,39.8814,79.0651,99.9046,61.3335,56.1599,38.834,53.9392,78.7863,45.7984,52.1699,79.4834,211.3263,57.5229,55.3099
1984,9,133.2948,46.3459,10.033,113.6331,32.9245,109.9724,86.5889,72.242,18.7336,72.2989,31.5345,44.8489,50.4005,28.3964,17.1538,36.9233,206.3282,52.7151,33.8425,64.3337,103.2836,53.1791,56.7706,19.855,64.7611,48.1427,53.2331,14.0382,65.5026,113.1489,32.7127,8.3014
1984,10,178.8477,25.2152,19.795,52.8616,49.4839,153.9383,40.9693,35.4975,36.1198,14.8041,23.5748,4.0904,36.2683,25.8239,46.5052,50.7177,164.2524,107.4827,40.8218,59.2313,34.6439,22.4315,54.189,18.9649,91.9856,33.2075,18.1996,42.9778,67.9093,67.7496,33.4351,9.9687
1984,11,181.5335,8.4196,43.0464,26.8782,102.7858,157.5491,46.5889,31.6985,33.4017,7.7479,14.8429,10.6611,23.9181,11.9396,92.7794,22.166,45.8896,56.8235,35.2117,43.6761,6.2788,26.0044,41.1919,12.206,159.6812,41.6142,3.7419,25.3177,38.6129,28.1844,24.3216,10.9474
1984,12,214.9803,3.2288,13.2485,33.3583,60.4242,142.7107,35.541,30.4789,24.1361,8.193,8.1204,15.612,16.4467,16.3929,59.8545,21.3741,15.1027,58.6254,24.4051,23.2122,0.1025,15.3499,19.0438,18.5182,194.9263,28.6515,0.1513,8.8725,25.4489,29.8947,24.4167,26.3385
