year,month,amazon,amur,aral,chang_jiang,columbia,zaire,danube,dnepr,don,huang,indigirka,indus,kolyma,lena,limpopo,mackenzie,mekong,mississippi,murray,dvina,niger,nile,ob,olenek,parana,pechora,senegal,ural,volga,xi,yenisei,yukon
1984,1,100.155,3.1195,2.2684,19.5406,18.6781,27.6056,13.8807,9.5016,9.0337,2.4971,0.1566,5.542,0.244,0.511,5.8288,4.2914,7.0403,16.0354,20.9208,6.3245,3.4353,3.4396,4.8039,0.026,35.7417,5.4433,0.6535,1.7411,8.5174,9.6213,3.3811,0.7881
1984,2,118.589,2.2016,1.8049,15.1529,22.8159,23.9812,14.299,3.8207,4.3789,2.2028,0.1355,7.9493,0.2144,0.4081,3.5185,3.492,4.6944,22.4502,6.8322,4.9244,2.7534,2.8918,3.9198,0.0201,30.7958,3.9071,0.5952,1.4147,7.1503,10.6393,2.9063,0.6399
1984,3,127.5972,4.6031,10.2131,30.5077,36.7357,32.4734,29.2898,17.0073,13.995,2.626,0.1365,13.7709,0.2185,1.1598,5.2788,6.989,7.138,31.4377,4.5423,7.5151,4.5289,3.0483,8.3341,0.0193,35.144,3.4669,0.6295,7.2033,22.2818,18.1994,3.891,6.3437
1984,4,135.8595,13.9647,11.8174,61.0311,35.4812,28.0532,38.979,13.7677,11.4817,4.6313,0.8049,13.4899,4.3491,23.0945,1.9092,26.1028,16.1899,39.2651,5.6507,66.2073,6.7262,6.2381,17.6032,0.6085,26.8394,9.6161,1.0172,4.24,41.232,79.3637,10.1117,11.7444
1984,5,112.3248,13.8292,13.1116,86.9063,46.2669,24.0457,42.4781,15.0151,8.6983,13.9391,31.583,11.4179,31.3116,62.5403,1.2963,26.6431,29.3034,35.512,2.4863,71.5426,12.0031,8.172,51.6328,66.046,19.655,156.7746,1.2645,3.6211,15.2311,147.5441,74.5971,24.5118
1984,6,91.9105,18.743,5.8188,94.9972,44.8416,14.8109,28.5453,18.7054,9.5597,21.2774,36.5998,8.2866,30.3213,29.3666,1.5529,28.7893,60.4598,21.0882,2.7053,36.5979,12.1369,8.2675,31.5471,32.8988,16.3592,66.5976,2.7974,6.5509,21.6551,132.4554,35.7132,25.8952
1984,7,81.9666,30.3389,3.8983,92.9644,32.9131,18.2896,23.0607,20.2301,12.8758,28.6596,35.5343,28.035,30.768,20.6225,2.2567,27.8064,100.7049,17.0175,9.905,45.9577,24.4948,13.6755,23.4597,6.7709,13.8747,30.069,4.5054,2.8568,22.6795,65.5349,22.9465,32.4999
1984,8,75.2299,39.3801,3.4705,82.9432,22.0577,26.0638,17.9831,13.2793,13.8508,21.2167,40.3076,34.3433,22.3928,15.4157,0.8227,25.8858,152.5171,10.4082,5.9392,34.2392,27.7614,11.9005,20.4373,13.9488,17.223,31.1827,4.8072,7.0489,22.5497,112.1533,17.2169,28.2493
1984,9,71.652,20.5562,3.8706,60.4732,15.9374,25.961,23.9179,15.5194,8.2359,23.3903,12.7432,24.8428,18.5447,9.3392,1.4473,17.3734,120.971,7.099,5.7033,32.6645,30.2668,11.9851,20.5291,6.432,17.4903,24.8637,5.4866,2.9222,21.3515,65.9739,11.7833,8.7066
1984,10,75.3423,12.6216,4.7407,43.2015,15.6296,35.4714,16.505,12.6261,9.782,7.3771,0.5081,11.4102,0.8644,1.5091,2.9941,14.8948,92.558,10.7704,4.742,32.7717,17.2165,6.1914,13.9006,0.1313,18.1477,13.8213,2.2326,6.2596,25.3321,40.1376,7.3475,3.522
1984,11,69.5955,6.1162,5.4737,24.7777,24.9633,36.2826,18.3543,10.082,9.5976,4.2959,0.2185,8.6687,0.3534,0.5741,6.3624,5.2836,42.0089,20.8209,3.8052,10.5426,7.1408,6.1112,5.34,0.0403,24.3183,5.0725,0.9226,2.6393,10.8596,15.691,3.5647,1.2063
1984,12,79.1345,4.5208,2.3814,21.0695,13.6979,34.2071,11.0497,5.2917,4.5927,3.3292,0.1852,6.9808,0.2918,0.4804,4.4162,4.7055,13.8479,21.9463,2.8382,6.61,4.4975,3.6414,4.9177,0.0289,32.298,3.923,0.628,1.6668,8.0326,10.7596,3.3764,1.088
1985,1,92.9272,3.4777,2.2709,17.4898,9.294,27.8602,7.806,4.9677,6.5253,2.8493,0.1667,7.1147,0.2584,0.411,10.0595,4.5311,19.3273,19.3106,2.0081,5.3224,3.6269,2.8181,4.5711,0.0229,43.9602,3.0657,0.622,1.3747,7.633,12.349,3.1429,1.9673
1985,2,88.2059,2.3745,4.9599,37.0337,11.6587,26.1613,7.4655,3.0548,3.207,2.511,0.1416,5.6839,0.2171,0.3201,10.9633,3.1562,6.7029,25.3829,2.3669,4.2865,2.5756,2.925,3.5316,0.0181,31.5211,2.3285,0.5534,1.0997,6.4183,54.107,2.5686,0.5582
1985,3,108.9875,6.3567,6.6628,46.2478,21.4396,40.4497,41.8676,19.8895,15.0365,3.5325,0.1505,10.8816,0.229,1.0934,6.0233,9.5124,8.4624,38.5196,2.2725,22.1913,7.4022,5.4121,6.0161,0.0187,38.6106,9.3062,0.6285,3.7306,26.0618,52.5226,3.2538,1.9007
1985,4,97.1095,14.4526,16.8172,44.9877,27.3164,42.2198,41.3388,34.3837,20.9617,4.6012,0.5391,14.4159,0.423,23.604,3.3112,21.6163,20.9551,22.4217,2.5116,48.1431,3.8761,9.9746,38.8316,2.4113,27.7579,22.4674,0.8024,13.1802,60.0657,74.9205,17.4272,9.7005
1985,5,85.3144,16.1686,13.3873,72.1096,43.0259,31.4583,36.7006,15.9237,11.7452,18.0763,42.6099,12.2997,34.3894,41.3773,3.8818,41.1958,31.482,18.5585,2.3405,57.478,9.3453,11.8739,41.6654,34.9774,20.3891,68.8595,0.749,5.9343,25.9593,106.5437,45.7861,39.1613
1985,6,71.6686,17.4718,6.3198,86.3925,32.8522,19.9249,32.9765,20.4537,19.3239,15.2106,62.5383,10.1191,78.0541,27.8632,2.6257,24.0076,73.0661,15.8722,2.4417,45.4372,15.2222,10.3417,32.1959,48.799,15.644,71.1268,1.9707,5.3193,27.1728,101.1034,42.6064,34.1775
1985,7,64.0326,23.6649,5.4782,83.1504,22.1831,20.6135,21.7046,24.4744,14.5892,15.608,31.1992,33.6102,27.2246,19.2786,2.5033,23.8463,81.3103,10.6193,2.9145,28.5613,25.1472,14.1025,26.9856,20.1715,17.4042,34.325,5.3013,5.957,23.5567,81.8605,20.6302,25.5639
1985,8,60.778,35.8625,5.0398,76.5114,15.8446,25.9395,28.9216,16.2417,11.2487,20.8216,36.3616,29.3122,25.5614,13.7748,1.4532,22.1694,130.4875,9.9862,5.5445,28.2056,34.8638,17.1749,23.067,16.0119,14.6017,30.863,13.8479,4.1947,16.0008,145.3695,22.3054,23.9228
1985,9,55.3103,21.2494,3.3602,65.3062,14.8436,38.5999,11.8063,23.8155,18.9562,27.1092,10.4182,9.8835,8.0311,11.0329,3.2378,21.1874,114.0159,8.8563,3.062,24.8482,35.6457,14.7656,12.5637,12.2857,15.3839,16.0915,10.2444,4.6003,19.4287,116.4192,16.2217,34.2975
1985,10,62.5972,11.1442,5.9568,40.8919,18.0515,34.8006,8.5745,12.6712,11.7171,15.8096,0.798,10.7662,0.9266,2.2369,4.6622,10.4032,69.5532,12.0166,5.7567,26.8402,14.4424,8.6873,12.5352,0.249,17.6587,12.2144,1.1737,4.1832,15.3564,26.0118,8.8963,7.2009
1985,11,64.9623,5.4936,3.3764,26.3717,12.1526,35.9867,20.7269,12.3537,11.8939,4.8982,0.2576,4.7342,0.4681,0.4824,4.0517,4.3529,45.4029,22.483,5.682,13.9771,6.9108,6.3895,5.3139,0.0845,18.064,4.8573,0.6354,3.3772,12.9094,25.8831,4.0645,2.2005
1985,12,93.9038,4.2994,3.378,16.8883,9.199,31.2877,25.1475,12.6925,8.8591,3.4616,0.2205,9.4338,0.3121,0.4001,5.9545,4.6727,10.6715,15.6907,5.5716,6.3746,4.8105,4.179,4.6295,0.0496,18.4534,3.4942,0.6341,1.6288,8.2741,8.805,3.7498,2.4956
1986,1,98.5505,3.5174,2.6298,12.8474,20.0345,28.8724,22.7137,11.0654,10.7361,2.6253,0.2005,4.8506,0.2839,0.3475,4.8714,4.6553,5.1152,13.1187,2.8108,5.3139,3.8113,2.9822,4.2372,0.032,22.8449,2.7918,0.6299,1.5834,7.7808,6.8727,3.4465,0.9569
1986,2,108.2405,2.4068,2.324,16.9397,25.6426,27.5947,11.1412,4.7253,5.607,2.3116,0.1687,9.0433,0.2395,0.2839,4.054,2.8792,3.5755,20.748,1.8449,4.1756,3.0093,3.2806,3.47,0.0219,21.9802,2.1156,0.5668,1.1294,6.5029,16.5624,2.8646,0.6629
1986,3,149.8559,6.3496,5.1022,34.5063,33.0673,38.5981,39.2609,37.9476,28.1671,4.1676,0.1787,16.6474,0.2521,1.5613,3.1578,7.197,4.5567,22.6384,0.7686,30.8938,4.4736,4.7929,5.9562,0.0205,24.2649,7.2468,0.619,5.7149,37.9927,24.8332,4.5384,1.4653
1986,4,117.383,9.505,13.3953,54.4889,31.9218,38.2997,39.8984,28.2382,15.6111,5.2198,1.3534,21.9555,2.4172,13.9075,4.3444,18.9114,16.1429,20.1408,1.4539,100.9038,5.1281,7.9353,39.33,1.3136,20.3019,59.6857,0.8556,8.8489,58.1094,59.3147,14.4602,9.9416
1986,5,98.1752,14.572,12.4421,39.9955,46.4694,26.1351,32.0049,14.2289,14.1556,9.6865,28.3906,15.3562,40.7257,41.9028,1.2713,44.0091,40.3338,18.9578,3.2755,37.1895,7.8864,6.3508,39.637,70.1123,23.9228,70.9019,1.5271,5.0749,16.1706,96.6338,61.616,32.9182
1986,6,85.9942,14.5012,7.0788,90.9439,39.7085,18.8786,27.6232,16.3119,13.3562,19.119,48.2321,14.9473,50.9408,31.3783,1.2084,28.6648,73.9673,19.8587,1.1066,28.918,12.0807,10.7241,27.7907,63.2911,17.2919,56.2355,1.5193,6.5586,20.4275,132.762,47.011,24.3732
1986,7,83.3503,19.8594,4.949,94.5489,27.0792,16.2421,21.8959,20.5327,12.8307,12.8911,22.0191,24.724,25.3242,10.778,0.881,33.4619,104.9294,14.1755,5.3787,31.5366,26.7586,14.3167,30.605,16.9555,14.4012,50.7402,3.9466,4.3581,19.833,158.8999,27.3232,30.1418
1986,8,58.7819,25.9918,3.858,55.0483,17.6833,16.2398,19.3782,23.1338,10.5519,12.17,27.4434,32.1722,27.0789,12.604,0.887,20.3196,157.9516,9.5073,4.4157,27.4519,31.9265,13.7316,26.8415,20.5708,16.1009,31.568,7.6911,3.4435,20.5036,111.5307,21.8939,29.3074
1986,9,54.6702,13.6151,3.4066,55.9306,16.4673,30.5828,9.4352,11.4145,11.3236,8.907,7.9781,17.1561,12.4267,9.1292,0.7907,16.0276,113.0243,8.2928,3.7332,27.7316,40.8949,13.964,21.9263,9.0489,15.3043,28.2944,15.8813,3.2499,22.0572,68.6243,17.7589,19.842
1986,10,67.1795,6.3958,4.6561,37.3067,13.9464,42.1863,14.2069,11.98,10.7256,5.6091,0.3717,10.7744,0.6384,1.6441,3.4088,13.1509,86.6717,22.5388,4.8722,29.0553,20.7138,9.829,17.8393,1.0784,16.2391,34.8143,2.0114,4.4341,21.8834,42.6321,10.7399,9.6792
1986,11,73.0083,3.9236,3.4001,21.1615,19.6113,40.0332,9.6817,9.1466,7.0923,2.5424,0.2201,10.6223,0.3691,0.4624,4.2006,4.6577,42.7824,20.6707,3.7936,24.0647,8.3388,5.1408,7.3056,0.0702,21.3272,16.1656,0.739,2.3161,11.9523,24.903,4.0838,2.3922
1986,12,78.2528,3.0881,3.3089,13.5886,13.8762,36.4141,11.2301,6.7558,7.4493,2.3815,0.2004,9.2336,0.3116,0.3924,5.4244,4.3425,18.0001,20.251,2.5869,6.823,5.5718,5.0891,5.6867,0.0408,32.3462,7.1174,0.6737,1.4352,8.3718,10.1487,3.8875,1.5729
1987,1,89.6615,2.4667,2.6196,15.061,17.7546,27.6361,6.7072,4.0081,3.9988,1.7711,0.1852,7.0753,0.2818,0.3336,4.8039,4.1102,8.0754,16.7259,4.642,5.3803,4.1685,3.5685,4.843,0.0285,40.4079,4.4934,0.6528,1.2104,7.2822,10.6454,3.492,0.9877
1987,2,86.2154,1.8089,3.1496,16.1774,17.3778,36.9298,17.227,4.5291,3.6756,1.9257,0.1559,10.7157,0.2366,0.263,4.1183,3.3933,4.7928,23.5511,2.3343,4.3442,3.3889,3.7678,3.9123,0.021,29.1554,3.0349,0.5729,1.0129,6.3194,11.977,2.9003,0.7245
1987,3,101.544,3.6315,9.8782,38.2561,25.7126,42.6568,22.4771,11.6518,7.9123,3.5423,0.1645,18.2575,0.2494,0.4338,4.9313,4.1214,7.3033,28.7007,3.709,8.2268,4.043,5.5314,5.8227,0.0207,34.911,3.5363,0.6239,2.343,17.4342,34.1026,3.2673,2.3253
1987,4,114.0796,8.2347,16.268,47.9261,30.6257,38.3431,51.1539,35.3955,34.2114,5.5406,0.4511,26.4396,0.6387,11.9457,1.7614,30.9734,10.9533,20.6348,1.1372,50.0094,3.3296,6.1567,35.7975,1.7559,27.2361,11.7483,0.6549,14.7246,55.7515,57.0211,17.0337,17.9153
1987,5,97.3959,12.0643,21.0388,70.3302,38.664,23.9993,45.1673,19.7793,14.6127,10.9235,18.5409,24.712,31.704,29.1284,1.5482,34.8147,18.2519,16.8264,3.3015,71.2291,8.1573,12.3248,51.9703,38.7691,24.9999,129.0081,0.9924,6.4596,26.7408,117.4175,53.6268,30.6813
1987,6,82.3992,16.856,11.2766,82.1031,29.0154,19.2118,28.7821,20.8143,18.6712,21.7065,47.0182,21.5631,68.602,35.4653,1.2489,26.2649,61.8671,13.0214,3.7795,43.2874,11.8565,10.8531,23.4298,69.9113,21.0611,45.4298,2.2241,6.0051,20.1957,123.6339,39.7221,25.1977
1987,7,61.8927,25.7914,10.5931,104.4763,24.0826,15.3083,24.7384,12.8548,12.8652,11.0874,27.7616,16.167,16.5324,22.5185,1.0942,27.1021,73.0826,11.0752,2.8524,50.16,17.406,10.896,27.377,23.9119,18.9004,57.4918,3.4684,6.378,23.1961,143.4669,23.2275,29.6473
1987,8,52.6066,26.9008,5.5665,82.4061,15.5628,21.9238,17.8495,20.3304,15.0775,17.529,28.8798,15.6582,15.5523,13.0086,1.668,23.4139,129.0977,7.8379,4.6785,36.6656,33.18,14.8164,19.4833,12.7381,14.8573,30.1323,7.8077,5.788,18.2415,93.093,19.0063,18.3985
1987,9,47.7412,22.1564,6.6106,66.691,10.7618,36.2973,14.7329,15.0211,16.465,8.1345,8.5883,6.6096,11.0616,11.2308,2.7377,16.5106,133.281,7.4142,2.0048,29.4814,28.7099,12.5368,22.1933,2.5975,13.8459,15.278,6.7113,7.9882,25.4343,62.654,13.3058,21.399
1987,10,51.2727,12.2179,6.2276,55.3934,7.262,38.5556,13.3881,7.5085,9.11,7.4206,0.4691,11.6285,1.6739,1.7297,1.9482,12.1912,53.1474,6.0634,3.7115,11.6577,16.9818,9.008,11.2948,0.1664,17.2749,16.7336,3.6382,2.8189,9.1283,48.9239,7.4972,10.8916
