year,month,amazon,amur,aral,chang_jiang,columbia,zaire,danube,dnepr,don,huang,indigirka,indus,kolyma,lena,limpopo,mackenzie,mekong,mississippi,murray,dvina,niger,nile,ob,olenek,parana,pechora,senegal,ural,volga,xi,yenisei,yukon
1984,1,82.2766,-0.1989,9.0951,-4.7043,36.3558,-11.7168,48.3047,32.0514,29.133,-2.8278,6.7758,-5.1625,11.8025,10.351,6.196,22.0508,-62.1346,0.9511,89.6009,22.321,-16.0263,-14.9473,13.009,7.9129,15.8652,22.2512,-7.5064,13.0768,22.4448,-13.5264,12.4809,14.4809
1984,2,78.1676,-0.1283,13.9481,-8.9858,24.4639,-15.1168,40.1412,18.3159,-1.6202,-3.0197,0.2896,14.3633,2.9112,6.4699,-20.5017,13.9116,-56.9914,9.7696,-18.9861,-4.5919,-12.1344,-11.2225,4.7388,8.3599,-1.9181,15.4046,-5.701,-5.6604,-7.8106,-3.448,10.4709,9.0009
1984,3,42.8031,-1.2751,22.0169,-4.218,15.6582,4.4163,8.0949,8.9363,1.7095,-3.8374,5.1955,-6.3717,6.2526,1.9616,16.1305,2.5624,-47.2096,23.6528,-21.9992,4.0579,-7.0064,-12.4456,1.0166,4.2645,43.8244,12.6878,-6.3929,-6.4063,-11.8991,-8.7023,4.4703,-1.3323
1984,4,37.7822,0.8842,-6.1471,7.3716,-1.9331,-6.7958,-20.9148,-27.2923,-5.2707,-4.9653,1.3864,-3.4758,-8.1576,-5.5412,-24.933,-19.4707,-4.2946,18.6907,7.0379,-58.5899,-1.5696,-0.7583,4.0666,7.6446,-1.8279,14.582,-2.7197,-3.5565,-37.3309,31.2201,5.9327,-6.3819
1984,5,-10.0421,-22.9549,-32.5614,21.4408,-25.0936,-29.8498,-3.7202,-34.119,-64.1793,9.1485,-10.9496,-14.2355,-22.3907,-40.9673,-18.1502,-0.5929,29.1632,-20.5335,-16.682,-87.7511,13.0466,1.8296,-44.2753,-51.7572,-24.8149,-138.6557,-0.286,-49.2978,-60.5787,44.9375,-56.8481,-9.1491
1984,6,-51.9179,-6.2797,-30.3155,4.7975,-43.7746,-46.9242,-36.4681,14.6148,-26.1949,4.1122,-1.54,-13.7135,-12.7184,-24.1896,-5.2892,-4.9245,85.225,-23.3001,-5.2154,-15.4759,5.7789,4.3135,-36.4113,-28.4232,-32.9587,-46.0642,17.8847,-18.1675,-10.0611,0.6278,-50.9451,-16.2242
1984,7,-70.041,13.2273,-23.7713,7.7964,-94.3669,-24.1837,-40.6293,-16.7733,-10.4045,4.5342,-10.8803,53.3559,-10.0753,-36.4813,4.5505,-19.1434,50.946,-48.2368,60.5689,-5.4562,39.3443,17.8943,-29.3827,-60.2231,-56.6141,-44.7853,10.9129,-27.9337,-20.0382,-31.0375,-28.1609,-5.861
1984,8,-74.5283,32.1941,-15.4531,-13.3079,-56.7421,-7.4306,-24.1399,-41.2856,-3.7839,-4.62,12.5305,25.9389,-5.5715,-3.1783,-12.5506,-11.2088,61.1765,-40.3749,-10.2244,0.3917,14.3565,0.4975,-14.1191,3.5229,-19.9986,5.8263,-6.9408,12.132,2.1477,20.7268,-9.8243,2.3827
1984,9,-39.8065,-6.5396,-6.5084,12.721,-17.255,1.8216,14.3235,17.0529,-17.2305,12.652,21.5149,-15.0508,30.5101,10.3281,-3.054,4.8124,25.0449,-14.7742,-20.9102,15.0395,19.8333,-1.5884,15.5277,13.1748,-24.2163,12.4362,2.3446,-9.6222,13.0393,-8.8066,3.8664,-1.9661
1984,10,-0.8118,5.7476,9.0378,-18.4307,22.2867,34.5596,-1.9581,4.8469,14.1697,-9.706,24.0469,-28.5161,36.368,23.816,16.7369,32.5281,11.2564,62.8478,-21.853,18.4456,-26.3721,-19.5849,36.9246,18.4028,-18.1304,16.4632,-9.5072,31.3971,33.1554,-24.5407,24.5333,5.7698
1984,11,15.3542,0.3535,35.4314,-13.4789,77.6436,38.5848,22.8404,20.4257,22.8931,-1.9572,14.0662,-10.1875,23.054,10.3035,31.7416,14.584,-41.4852,21.816,-17.1856,30.9801,-25.6987,-7.8792,35.3719,11.9896,25.5074,34.7455,-10.9868,22.4882,27.0472,-32.8335,19.6563,6.8957
1984,12,37.3858,-2.6658,11.6862,4.475,49.2602,16.0561,25.7805,26.0755,20.0051,1.3776,7.3659,1.8231,15.8133,15.7291,-14.6307,14.3766,-63.5725,29.6985,-17.9686,14.6957,-21.0025,-13.4268,15.2113,18.3549,53.2144,24.667,-9.1533,6.0318,16.5318,-5.7914,21.425,24.3882
1985,1,31.7641,-1.6102,17.5079,-10.9265,3.9435,-7.2122,34.5148,45.9406,52.0073,-3.2159,7.7434,8.0746,17.3761,6.3301,50.9663,14.9115,-55.8129,11.3045,-17.1513,33.2762,-15.3844,-10.3111,18.2915,5.1763,21.0328,25.0632,-7.3338,13.2574,44.7923,-3.3614,19.9914,19.7315
