time(months),amazon,ds/dt,nile,ds/dt,mississippi,ds/dt
1,-6.474,0.000,2.625,0.000,0.410,0.000
2,-1.688,4.786,-2.854,-5.479,3.072,2.662
3,4.133,5.821,-5.432,-2.578,3.273,0.202
4,8.121,3.989,-3.122,2.309,3.130,-0.144
5,10.445,2.324,-2.580,0.542,2.668,-0.462
6,7.375,-3.070,-4.454,-1.873,3.326,0.658
7,1.847,-5.528,-0.151,4.303,-0.517,-3.842
8,-6.302,-8.149,0.333,0.483,-2.612,-2.096
9,-12.544,-6.242,2.217,1.884,-2.988,-0.375
10,-13.416,-0.871,2.954,0.737,-3.387,-0.399
11,-11.709,1.707,1.976,-0.978,-0.465,2.922
12,-10.155,1.554,-0.306,-2.282,2.693,3.158
13,-5.284,4.872,-3.310,-3.004,6.559,3.865
14,1.276,6.559,-4.572,-1.262,4.329,-2.230
15,8.778,7.502,-5.061,-0.489,5.190,0.861
16,12.766,3.988,-6.135,-1.073,5.510,0.320
17,11.833,-0.933,-4.275,1.860,4.097,-1.414
18,4.618,-7.215,-3.165,1.110,3.269,-0.828
19,-4.169,-8.786,-0.638,2.527,-0.928,-4.197
20,-11.845,-7.676,2.897,3.535,-3.717,-2.789
21,-18.697,-6.852,5.975,3.078,-7.679,-3.962
22,-19.889,-1.192,5.812,-0.164,-5.715,1.964
23,-17.677,2.212,2.678,-3.133,-6.339,-0.624
24,-10.840,6.837,-1.255,-3.933,-2.938,3.401
25,1.351,12.191,-3.236,-1.981,-1.784,1.154
26,9.158,7.807,-4.445,-1.209,1.383,3.167
27,13.774,4.616,-3.634,0.811,3.066,1.683
28,17.782,4.007,-4.892,-1.258,4.587,1.522
29,15.553,-2.229,-5.860,-0.968,2.854,-1.734
30,10.875,-4.677,-3.861,1.999,0.671,-2.183
31,2.924,-7.951,0.327,4.188,-4.749,-5.420
32,-6.262,-9.186,3.668,3.341,-8.584,-3.834
33,-15.047,-8.785,3.941,0.272,-8.904,-0.320
34,-16.755,-1.708,3.582,-0.359,-6.822,2.082
35,-13.225,3.530,3.326,-0.256,-6.590,0.232
36,-6.469,6.756,2.538,-0.789,-4.187,2.403
